Location,Latitude,Longitude,Multi-Story?,Total Insured Value,Premium,Losses - Non Catastrophe,PolicyYear,At Risk?,Risk Category,Region,Year Hurricane Encounters,PolicyResultLookup,LocationLookup
1,19,-100.1,No,"290,874","2,644","68,987",1980, At Risk ,Low Risk,South,0,1980 - 1,19-100.1
1,19,-100.1,No,"296,488","2,697",0,1981, At Risk ,Low Risk,South,0,1981 - 1,19-100.1
1,19,-100.1,No,"301,944","2,751",0,1982, At Risk ,Low Risk,South,0,1982 - 1,19-100.1
1,19,-100.1,No,"308,254","2,806",0,1983, At Risk ,Low Risk,South,0,1983 - 1,19-100.1
1,19,-100.1,No,"313,433","2,862",0,1984, At Risk ,Low Risk,South,0,1984 - 1,19-100.1
1,19,-100.1,No,"318,636","2,919",0,1985, At Risk ,Low Risk,South,0,1985 - 1,19-100.1
1,19,-100.1,No,"326,315","2,977",0,1986, At Risk ,Low Risk,South,0,1986 - 1,19-100.1
1,19,-100.1,No,"331,242","3,037",0,1987, At Risk ,Low Risk,South,0,1987 - 1,19-100.1
1,19,-100.1,No,"336,443","3,098",0,1988, At Risk ,Low Risk,South,1,1988 - 1,19-100.1
1,19,-100.1,No,"344,686","3,159",0,1989, At Risk ,Low Risk,South,0,1989 - 1,19-100.1
1,19,-100.1,No,"352,303","3,223",0,1990, At Risk ,Low Risk,South,0,1990 - 1,19-100.1
1,19,-100.1,No,"360,723","3,287",0,1991, At Risk ,Low Risk,South,0,1991 - 1,19-100.1
1,19,-100.1,No,"367,577","3,353",0,1992, At Risk ,Low Risk,South,0,1992 - 1,19-100.1
1,19,-100.1,No,"373,532","3,420",0,1993, At Risk ,Low Risk,South,0,1993 - 1,19-100.1
2,7.2,-74.4,No,"259,184","1,970",0,1980, Not At Risk ,Low Risk,South,0,1980 - 2,7.2-74.4
2,7.2,-74.4,No,"265,249","2,010",0,1981, Not At Risk ,Low Risk,South,0,1981 - 2,7.2-74.4
2,7.2,-74.4,No,"271,244","2,050",0,1982, Not At Risk ,Low Risk,South,0,1982 - 2,7.2-74.4
2,7.2,-74.4,No,"277,781","2,091",0,1983, Not At Risk ,Low Risk,South,0,1983 - 2,7.2-74.4
2,7.2,-74.4,No,"283,864","2,133",0,1984, Not At Risk ,Low Risk,South,0,1984 - 2,7.2-74.4
2,7.2,-74.4,No,"289,002","2,175",0,1985, Not At Risk ,Low Risk,South,0,1985 - 2,7.2-74.4
2,7.2,-74.4,No,"295,967","2,219",0,1986, Not At Risk ,Low Risk,South,0,1986 - 2,7.2-74.4
3,22.9,-74.5,Yes,"1,112,660","2,478",0,1980, At Risk ,Medium Risk,South,0,1980 - 3,22.9-74.5
3,22.9,-74.5,Yes,"1,139,364","2,528",0,1981, At Risk ,Medium Risk,South,1,1981 - 3,22.9-74.5
3,22.9,-74.5,Yes,"1,158,163","2,578",0,1982, At Risk ,Medium Risk,South,0,1982 - 3,22.9-74.5
3,22.9,-74.5,Yes,"1,183,180","2,630",0,1983, At Risk ,Medium Risk,South,0,1983 - 3,22.9-74.5
3,22.9,-74.5,Yes,"1,212,167","2,682",0,1984, At Risk ,Medium Risk,South,0,1984 - 3,22.9-74.5
3,22.9,-74.5,Yes,"1,237,987","2,736",0,1985, At Risk ,Medium Risk,South,0,1985 - 3,22.9-74.5
