Location,Latitude,Longitude,Multi-Story?,Total Insured Value,Premium,Losses - Non Catastrophe,PolicyYear,At Risk?,NumStormsEncounter,Num6-hourEncounters,Max_wind,Region
1,19.0,-100.1,No,290874,2644,68987,1980,At Risk,0,0,0,South
1,19.0,-100.1,No,296488,2697,0,1981,At Risk,0,0,0,South
1,19.0,-100.1,No,301944,2751,0,1982,At Risk,0,0,0,South
1,19.0,-100.1,No,308254,2806,0,1983,At Risk,0,0,0,South
1,19.0,-100.1,No,313433,2862,0,1984,At Risk,0,0,0,South
1,19.0,-100.1,No,318636,2919,0,1985,At Risk,0,0,0,South
1,19.0,-100.1,No,326315,2977,0,1986,At Risk,0,0,0,South
1,19.0,-100.1,No,331242,3037,0,1987,At Risk,0,0,0,South
1,19.0,-100.1,No,336443,3098,0,1988,At Risk,1,1,30,South
1,19.0,-100.1,No,344686,3159,0,1989,At Risk,0,0,0,South
1,19.0,-100.1,No,352303,3223,0,1990,At Risk,0,0,0,South
1,19.0,-100.1,No,360723,3287,0,1991,At Risk,0,0,0,South
1,19.0,-100.1,No,367577,3353,0,1992,At Risk,0,0,0,South
1,19.0,-100.1,No,373532,3420,0,1993,At Risk,0,0,0,South
1,19.0,-100.1,Yes,381525,3488,0,1994,At Risk,0,0,0,South
1,19.0,-100.1,Yes,388927,3558,0,1995,At Risk,0,0,0,South
1,19.0,-100.1,Yes,397872,3629,0,1996,At Risk,0,0,0,South
1,19.0,-100.1,Yes,405790,3702,0,1997,At Risk,0,0,0,South
1,19.0,-100.1,Yes,414555,3776,0,1998,At Risk,0,0,0,South
1,19.0,-100.1,Yes,424629,3851,0,1999,At Risk,0,0,0,South
1,19.0,-100.1,Yes,432654,3928,0,2000,At Risk,0,0,0,South
1,19.0,-100.1,Yes,440485,4007,0,2001,At Risk,0,0,0,South
1,19.0,-100.1,Yes,447885,4087,0,2002,At Risk,0,0,0,South
1,19.0,-100.1,Yes,454604,4169,0,2003,At Risk,0,0,0,South
1,19.0,-100.1,Yes,462877,4252,0,2004,At Risk,0,0,0,South
1,19.0,-100.1,Yes,472552,4337,0,2005,At Risk,0,0,0,South
1,19.0,-100.1,Yes,498432,4603,0,2008,At Risk,0,0,0,South
1,19.0,-100.1,Yes,402846,4695,0,2009,At Risk,0,0,0,South
1,19.0,-100.1,Yes,430827,4789,0,2010,At Risk,0,0,0,South
1,19.0,-100.1,Yes,479362,4884,0,2011,At Risk,0,0,0,South
