Serial_Num (N/A),Season (Year),Name (N/A),ISO_time,day,month,hour,Nature (N/A),Latitude (deg_north),Longitude (deg_east),Wind(WMO) (kt),Pres(WMO) (mb),Wind(WMO) Percentile (%),Pres(WMO) Percentile (%),Intensity
1980199N31284,1980,UNNAMED,1980-07-17 00:00:00,17,7,0, TS,30.5,-76.5,20,0,0.857,-100.0,Unknown
1980199N31284,1980,UNNAMED,1980-07-17 06:00:00,17,7,6, TS,30.2,-77.2,25,0,4.702,-100.0,Unknown
1980199N31284,1980,UNNAMED,1980-07-17 12:00:00,17,7,12, TS,30.0,-78.0,25,0,4.702,-100.0,Unknown
1980199N31284,1980,UNNAMED,1980-07-17 18:00:00,17,7,18, TS,29.9,-79.3,25,0,4.702,-100.0,Unknown
1980199N31284,1980,UNNAMED,1980-07-18 00:00:00,18,7,0, TS,29.8,-80.2,25,0,4.702,-100.0,Unknown
1980199N31284,1980,UNNAMED,1980-07-18 06:00:00,18,7,6, TS,29.5,-81.1,25,0,4.702,-100.0,Unknown
1980199N31284,1980,UNNAMED,1980-07-18 12:00:00,18,7,12, TS,29.5,-82.0,20,0,0.857,-100.0,Unknown
1980199N31284,1980,UNNAMED,1980-07-18 18:00:00,18,7,18, TS,29.4,-83.0,20,0,0.857,-100.0,Unknown
1980199N31284,1980,UNNAMED,1980-07-19 00:00:00,19,7,0, TS,29.4,-84.0,20,0,0.857,-100.0,Unknown
1980199N31284,1980,UNNAMED,1980-07-19 06:00:00,19,7,6, TS,29.5,-84.7,20,0,0.857,-100.0,Unknown
1980199N31284,1980,UNNAMED,1980-07-19 12:00:00,19,7,12, TS,29.6,-85.8,25,0,4.702,-100.0,Unknown
1980199N31284,1980,UNNAMED,1980-07-19 18:00:00,19,7,18, TS,29.7,-86.4,25,0,4.702,-100.0,Unknown
1980199N31284,1980,UNNAMED,1980-07-20 00:00:00,20,7,0, TS,29.8,-87.0,25,0,4.702,-100.0,Unknown
1980199N31284,1980,UNNAMED,1980-07-20 06:00:00,20,7,6, TS,29.9,-87.8,25,0,4.702,-100.0,Unknown
1980199N31284,1980,UNNAMED,1980-07-20 12:00:00,20,7,12, TS,30.0,-88.5,25,0,4.702,-100.0,Unknown
1980199N31284,1980,UNNAMED,1980-07-20 18:00:00,20,7,18, TS,30.4,-89.2,20,0,0.857,-100.0,Unknown
